00:05:40.0376: Info | No lastCvarOffset value in config found! Creating it ...
00:05:40.0936: Info | no lastCvarOffset in config
00:05:40.0936: Info | No lastPid value in config found! Creating it ...
00:05:40.0936: Info | no lastPid in config
00:05:40.0936: Info | No account value in config found! Creating it ...
00:05:40.0936: Info | no account name in config
00:05:40.0936: Info | No wow_folder value in config found! Creating it ...
00:05:40.0936: Info | no wow folder in config
00:05:40.0936: Info | No keybind_0 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_0 in config
00:05:40.0986: Info | No keybind_1 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_1 in config
00:05:40.0986: Info | No keybind_2 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_2 in config
00:05:40.0986: Info | No keybind_3 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_3 in config
00:05:40.0986: Info | No keybind_4 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_4 in config
00:05:40.0986: Info | No keybind_5 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_5 in config
00:05:40.0986: Info | No keybind_6 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_6 in config
00:05:40.0986: Info | No keybind_7 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_7 in config
00:05:40.0986: Info | No keybind_8 value in config found! Creating it ...
00:05:40.0986: Info | no keybind_8 in config
00:05:40.0986: Info | No keybind_9 value in config found! Creating it ...
00:05:40.1146: Info | no keybind_9 in config
00:05:40.1146: Info | No keybind_10 value in config found! Creating it ...
00:05:40.1146: Info | no keybind_10 in config
00:05:40.1146: Info | Could not find any class file!
00:05:40.1336: Info | Not a valid WoW folder!
00:05:40.1336: Info | No accounts found!
00:05:40.1336: Info | B: 1
00:05:40.1336: Info | B cbx: 1
00:05:40.1336: Info | No accounts found or selected!
00:05:40.1526: Info | --------SetRotationKeys()
00:05:40.3017: Info | Hook off
00:19:11.6701: Info | No wow_folder value in config found! Creating it ...
00:19:11.6911: Info | no wow folder in config
00:19:11.7501: Info | Could not find any class file!
00:19:11.7501: Info | Not a valid WoW folder!
00:19:11.7501: Info | No accounts found!
00:19:11.7561: Info | B: 1
00:19:11.7561: Info | B cbx: 1
00:19:11.7561: Info | No accounts found or selected!
00:19:11.7561: Info | --------SetRotationKeys()
00:19:11.8071: Info | Hook off
00:20:09.6504: Info | No wow_folder value in config found! Creating it ...
